direction,entry_time,exit_time,entry_price,exit_price,quantity_usd,brokerage,net_pnl,holding_time
SHORT,2018-11-20 05:31:00,2018-12-21 05:31:00,4558.8600000000,3838.6600000000,-1000.0000000000,1.5000000000,156.4780910140,31 days 00:00:00
LONG,2019-04-04 05:31:00,2019-05-18 05:31:00,4898.6600000000,7257.4500000000,1156.4780910140,1.7347171365,555.1296001059,44 days 00:00:00
LONG,2019-05-27 05:31:00,2019-06-05 05:31:00,8756.3200000000,7776.5000000000,1711.6076911199,2.5674115367,-194.0939258615,9 days 00:00:00
LONG,2019-06-21 05:31:00,2019-06-28 05:31:00,10159.8600000000,12400.6300000000,1517.5137652584,2.2762706479,332.4133136356,7 days 00:00:00
SHORT,2019-09-25 05:31:00,2019-10-26 05:31:00,8430.0500000000,9230.0000000000,-1849.9270788939,2.7748906183,-178.3194208123,31 days 00:00:00
LONG,2019-10-27 05:31:00,2019-11-09 05:31:00,9529.9300000000,8809.4100000000,1671.6076580817,2.5074114871,-128.8909998032,13 days 00:00:00
SHORT,2019-11-23 05:31:00,2019-11-30 05:31:00,7311.5700000000,7541.8900000000,-1542.7166582785,2.3140749874,-50.9108196995,7 days 00:00:00
LONG,2020-01-15 05:31:00,2020-01-26 05:31:00,8821.4100000000,8615.0000000000,1491.8058385789,2.2377087579,-37.1441061638,11 days 00:00:00
LONG,2020-01-29 05:31:00,2020-02-20 05:31:00,9301.5300000000,9596.4200000000,1454.6617324151,2.1819925986,43.9357104322,22 days 00:00:00
SHORT,2020-03-09 05:31:00,2020-03-20 05:31:00,7929.8700000000,6208.3600000000,-1498.5974428472,2.2478961643,323.0853670337,11 days 00:00:00
LONG,2020-04-30 05:31:00,2020-05-11 05:31:00,8620.0000000000,8561.5200000000,1821.6828098810,2.7325242148,-15.0912261547,11 days 00:00:00
LONG,2020-06-02 05:31:00,2020-06-28 05:31:00,9518.0400000000,9116.3500000000,1806.5915837263,2.7098873756,-78.9535019503,26 days 00:00:00
LONG,2020-07-27 05:31:00,2020-08-26 05:31:00,11029.9600000000,11461.4300000000,1727.6380817759,2.5914571227,64.9902932322,30 days 00:00:00
LONG,2020-10-20 05:31:00,2020-11-27 05:31:00,11909.9900000000,17139.5200000000,1792.6283750081,2.6889425625,784.4321100963,38 days 00:00:00
LONG,2020-12-01 05:31:00,2021-01-12 05:31:00,18764.9600000000,34051.2400000000,2577.0604851044,3.8655907277,2095.4550660839,42 days 00:00:00
LONG,2021-02-09 05:31:00,2021-02-24 05:31:00,46420.4200000000,49676.2000000000,4672.5155511883,7.0087733268,320.7065442263,15 days 00:00:00
LONG,2021-03-14 05:31:00,2021-03-26 05:31:00,58968.3100000000,55025.5900000000,4993.2220954146,7.4898331431,-341.3450279085,12 days 00:00:00
LONG,2021-04-14 05:31:00,2021-04-19 05:31:00,62959.5300000000,55633.1400000000,4651.8770675062,6.9778156013,-548.3011963286,5 days 00:00:00
SHORT,2021-05-20 05:31:00,2021-06-15 05:31:00,40526.6400000000,40144.0400000000,-4103.5758711775,6.1553638068,32.5852800836,26 days 00:00:00
LONG,2021-07-31 05:31:00,2021-09-08 05:31:00,41461.8300000000,46048.3100000000,4136.1611512611,6.2042417269,451.3351480452,39 days 00:00:00
SHORT,2021-09-22 05:31:00,2021-10-02 05:31:00,43543.6100000000,47634.9000000000,-4587.4962993064,6.8812444490,-437.9152752606,10 days 00:00:00
LONG,2021-10-07 05:31:00,2021-10-28 05:31:00,53785.2200000000,60575.8900000000,4149.5810240458,6.2243715361,517.6822959937,21 days 00:00:00
LONG,2021-11-09 05:31:00,2021-11-17 05:31:00,66947.6600000000,60344.8700000000,4667.2633200395,7.0008949801,-467.3151102480,8 days 00:00:00
SHORT,2021-12-05 05:31:00,2022-02-01 05:31:00,49396.3300000000,38694.5900000000,-4199.9482097915,6.2999223147,903.6209919446,58 days 00:00:00
LONG,2022-03-29 05:31:00,2022-04-07 05:31:00,47434.8000000000,43444.1900000000,5103.5692017361,7.6553538026,-437.0100531402,9 days 00:00:00
SHORT,2022-04-27 05:31:00,2022-05-31 05:31:00,39235.7200000000,31801.0400000000,-4666.5591485959,6.9998387229,877.2549671245,34 days 00:00:00
SHORT,2022-06-13 05:31:00,2022-07-08 05:31:00,22487.4100000000,21594.7500000000,-5543.8141157204,8.3157211736,211.7514679131,25 days 00:00:00
SHORT,2022-08-27 05:31:00,2022-09-10 05:31:00,20037.6000000000,21648.3400000000,-5755.5655836335,8.6333483755,-471.2995213793,14 days 00:00:00
SHORT,2022-11-10 05:31:00,2022-12-01 05:31:00,17601.1500000000,16977.3700000000,-5284.2660622542,7.9263990934,179.3465622934,21 days 00:00:00
